source,target
Ministry of Information Communications and Culture (KPKK), Kementerian Komunikasi dan Kebudayaan Malaysia
Malaysian Communications and Multimedia Commission (MCMC), Suruhanjaya Komunikasi dan Multimedia Malaysia
Selangor State Library Corporation (PPAS), Perbadanan Perpustakaan Awam Selangor
Negeri Sembilan State Library Corporation (PPANS), Perbadanan Perpustakaan Negeri Sembilan
Sarawak State Library (Pustaka), Perpustakaan Negeri Sarawak
INTAN Library at Bukit Kiara, Perpustakaan INTAN Bukit Kiara
Melaka State Library Corporation (PERPUSTAM), Perbadanan Perpustakaan Melaka
Kedah State Library Corporation (PPAK), Perbadanan Perpustakaan Kedah
Economic Planning Unit (EPU), Unit Perancang Ekonomi
National Centre of Excellence for Sensor Technology (NEST), Pusat Kecemerlangan Teknologi Sensor Nasional
Universiti Putra Malaysia, Universiti Putra Malaysia
Malaysian Electronic Clearing Corporation Sdn. Bhd. (MyClear), Syarikat Berhad Pengeluaran Elektronik Malaysia
Touch 'n Go Sdn Bhd, Touch 'n Go Sdn Bhd
Pahang State Library Corporation (PPAP), Perbadanan Perpustakaan Pahang
Kuala Lumpur Library (PKL), Perpustakaan Kuala Lumpur
Sabah State Library, Perpustakaan Negeri Sabah
Terengganu State Library Corporation (PPAT), Perbadanan Perpustakaan Terengganu
Perlis State Library Corporation (PPANs), Perbadanan Perpustakaan Perlis
Malaysian Administrative Modernisation and Management Planning Unit (MAMPU), Unit Pemodenan Pentadbiran dan Perancangan Pengurusan Malaysia
National Registration Department, Ministry of Home Affairs (JPN), Jabatan Pendaftaran Negara, Kementerian Dalam Negeri
Pos Malaysia Berhad (PMB), Pos Malaysia Berhad
MEPS, Sistem Pembayaran Elektronik Malaysia (MEPS)
FPX, Sistem Pemprosesan Pertukaran Kewangan (FPX)
Citizens' VOICE, Suara Rakyat
MySMS 15888, MySMS 15888
RSS Feed, Umpan RSS
National Union Catalogue (KIK), Katalog Kesatuan Negara (KIK)
National Broadband Initiative (NBI), Inisiatif Jalur Lebar Kebangsaan




